2018/08/18 13:09:12 [error] 8272#9504: *36 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 13:12:25 [error] 8272#9504: *43 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 13:12:25 [error] 8272#9504: *44 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 13:12:25 [error] 8272#9504: *45 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:50:15 [error] 8272#9504: *49 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:50:15 [error] 8272#9504: *50 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:50:15 [error] 8272#9504: *51 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:54:46 [error] 8272#9504: *55 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:54:46 [error] 8272#9504: *56 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:54:46 [error] 8272#9504: *57 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:55:18 [error] 8272#9504: *57 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:55:18 [error] 8272#9504: *56 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 14:55:18 [error] 8272#9504: *55 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:00:13 [error] 8272#9504: *64 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:00:13 [error] 8272#9504: *65 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:00:13 [error] 8272#9504: *66 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:00:38 [error] 8272#9504: *66 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:00:38 [error] 8272#9504: *65 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:00:38 [error] 8272#9504: *64 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:01:28 [error] 8272#9504: *64 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
